time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,weathercode,city,latitude,longitude,region
2023-09-11,27.6,19.6,23.4,28.8,20.9,1.6,1.6,20.4,38.9,275,18.06,28640.79,4.04,53,Bengaluru,12.9716,77.5946,Karnataka
2023-09-12,28.8,20.0,23.6,30.0,21.0,2.5,2.5,22.5,42.8,282,21.18,38806.89,4.68,53,Bengaluru,12.9716,77.5946,Karnataka
2023-09-13,28.9,19.2,23.0,31.2,21.0,4.1,4.1,21.7,38.9,266,21.79,40015.42,4.5,61,Bengaluru,12.9716,77.5946,Karnataka
2023-09-14,28.8,19.1,22.9,31.2,20.7,0.6,0.6,19.9,38.9,258,19.21,36352.22,4.16,51,Bengaluru,12.9716,77.5946,Karnataka
2023-09-15,28.8,19.7,23.1,30.9,21.0,3.5,3.5,22.3,43.9,250,18.44,29483.39,3.94,55,Bengaluru,12.9716,77.5946,Karnataka
2023-09-16,28.6,20.0,23.5,30.9,21.5,5.8,5.8,25.4,48.2,257,17.8,30304.31,3.98,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-17,26.8,19.9,22.5,28.8,21.2,7.5,7.5,18.8,41.0,262,15.47,31701.2,3.15,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-18,28.8,19.5,22.8,32.4,21.1,4.8,4.8,25.8,44.6,261,19.36,31852.78,3.97,61,Bengaluru,12.9716,77.5946,Karnataka
2023-09-19,28.7,19.7,23.4,30.9,21.4,1.0,1.0,17.3,33.8,270,23.48,41789.29,4.82,51,Bengaluru,12.9716,77.5946,Karnataka
2023-09-20,28.7,19.1,23.3,32.4,20.8,0.3,0.3,17.8,33.5,262,21.41,41574.4,4.37,51,Bengaluru,12.9716,77.5946,Karnataka
2023-09-21,27.0,19.6,23.2,30.3,22.1,0.2,0.2,11.7,24.1,256,14.63,14944.5,3.04,51,Bengaluru,12.9716,77.5946,Karnataka
2023-09-22,28.6,19.6,23.2,33.9,21.8,6.2,6.2,16.3,44.6,260,22.11,37678.05,4.42,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-23,29.0,19.9,23.6,33.0,22.7,6.5,6.5,12.8,27.4,258,22.58,34720.98,4.63,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-24,27.1,19.9,23.0,29.3,21.8,7.5,7.5,18.4,35.3,280,16.29,29409.57,3.43,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-25,26.9,19.5,22.8,29.9,21.4,1.1,1.1,19.6,35.3,286,18.08,32614.6,3.62,53,Bengaluru,12.9716,77.5946,Karnataka
2023-09-26,28.4,19.5,23.3,31.7,21.6,1.8,1.8,14.9,29.5,265,21.71,39546.1,4.44,53,Bengaluru,12.9716,77.5946,Karnataka
2023-09-27,27.9,19.7,23.0,30.8,21.2,11.5,11.5,18.4,35.3,263,20.29,38964.58,4.17,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-28,27.1,19.0,21.9,30.8,20.6,9.4,9.4,19.7,37.1,244,16.38,27803.81,3.18,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-29,27.5,19.8,22.4,30.0,20.7,5.7,5.7,24.0,45.4,239,15.83,23611.1,3.35,63,Bengaluru,12.9716,77.5946,Karnataka
2023-09-30,28.2,19.5,23.0,30.1,20.4,2.7,2.7,25.7,48.6,238,21.15,39600.0,4.28,55,Bengaluru,12.9716,77.5946,Karnataka
2023-10-01,27.5,20.3,23.0,28.3,21.1,1.1,1.1,26.6,49.0,240,14.96,27214.28,3.46,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-02,28.1,19.8,23.5,29.1,20.8,0.3,0.3,23.1,43.2,268,22.14,40890.14,4.67,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-03,28.2,19.1,23.2,31.4,21.1,0.1,0.1,13.6,29.5,279,23.26,40674.6,4.73,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-04,28.2,19.0,23.5,31.6,21.1,0.4,0.4,10.3,24.1,293,22.29,40695.08,4.61,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-05,27.5,19.7,23.6,31.3,21.9,2.2,2.2,13.0,21.6,299,21.96,40478.63,4.45,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-06,29.5,20.2,24.5,32.8,22.2,1.5,1.5,9.7,18.7,304,21.89,38174.19,4.65,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-07,29.3,20.0,24.2,33.0,22.7,0.8,0.8,11.2,20.9,261,22.43,39808.06,4.66,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-08,29.7,20.2,23.9,33.9,22.7,14.4,14.4,12.0,23.4,166,19.88,37077.0,4.11,63,Bengaluru,12.9716,77.5946,Karnataka
2023-10-09,27.8,19.2,22.8,34.0,21.7,19.3,19.3,12.2,25.6,206,16.57,30184.29,3.3,63,Bengaluru,12.9716,77.5946,Karnataka
2023-10-10,28.7,19.5,23.3,33.9,22.4,1.9,1.9,9.2,24.1,210,19.9,36608.56,4.07,61,Bengaluru,12.9716,77.5946,Karnataka
2023-10-11,29.2,19.8,24.0,33.0,22.6,1.0,1.0,10.0,23.8,76,21.86,39600.0,4.49,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-12,30.0,19.9,24.1,31.6,21.6,0.3,0.3,13.7,28.1,98,23.33,40144.2,5.27,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-13,29.4,18.5,23.4,29.3,19.3,0.0,0.0,14.5,29.5,79,24.84,40401.86,5.61,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-14,29.2,18.4,23.7,31.0,19.9,0.0,0.0,12.6,28.4,87,23.84,39600.0,5.16,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-15,30.7,19.2,24.2,31.6,21.7,0.0,0.0,14.4,33.1,92,21.18,37066.46,4.87,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-16,30.0,20.8,24.3,32.3,22.0,0.4,0.4,19.1,36.4,105,21.16,39743.34,4.81,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-17,30.0,20.5,24.5,32.2,23.0,0.3,0.3,15.5,28.4,96,22.5,39600.0,5.12,51,Bengaluru,12.9716,77.5946,Karnataka
2023-10-18,30.4,19.1,24.3,31.1,18.8,0.0,0.0,16.7,34.2,82,23.19,39779.07,5.76,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-19,30.8,17.6,24.1,31.3,18.6,0.0,0.0,16.9,34.2,75,23.85,39600.0,5.72,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-20,31.1,18.9,24.7,31.1,20.6,0.0,0.0,17.4,35.6,84,23.79,39600.0,5.94,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-21,31.4,19.8,25.0,31.6,21.6,0.0,0.0,20.0,38.9,78,22.83,39600.0,5.79,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-22,31.6,19.1,24.9,32.2,20.2,0.0,0.0,13.8,29.5,59,22.31,38555.54,5.45,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-23,30.4,18.3,23.9,29.7,17.7,0.0,0.0,13.7,30.2,37,24.17,39861.11,6.11,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-24,29.9,17.0,23.5,30.5,15.1,0.0,0.0,11.5,24.5,46,24.52,39875.98,6.13,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-25,30.0,17.1,23.5,30.8,16.3,0.0,0.0,14.5,25.2,66,24.12,39648.86,5.78,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-26,30.0,16.5,23.7,30.4,16.7,0.0,0.0,13.8,25.9,74,23.83,39662.58,5.74,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-27,30.7,18.6,24.4,30.8,19.7,0.0,0.0,15.4,32.0,80,22.29,37624.49,5.44,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-28,30.9,20.3,25.0,32.2,22.7,0.0,0.0,15.9,31.3,103,21.33,39600.0,5.13,3,Bengaluru,12.9716,77.5946,Karnataka
2023-10-29,29.5,20.2,23.4,31.4,22.0,6.1,6.1,17.0,36.7,91,20.21,39600.0,4.43,61,Bengaluru,12.9716,77.5946,Karnataka
2023-10-30,28.7,19.5,23.3,30.3,21.7,4.1,4.1,18.5,40.0,97,18.3,34952.08,4.02,61,Bengaluru,12.9716,77.5946,Karnataka
2023-10-31,28.8,19.5,22.9,29.8,21.5,1.4,1.4,16.9,32.8,81,17.0,29153.45,3.84,53,Bengaluru,12.9716,77.5946,Karnataka
2023-11-01,29.4,18.9,23.5,30.9,20.5,1.3,1.3,13.7,28.8,79,18.14,34042.95,4.14,53,Bengaluru,12.9716,77.5946,Karnataka
2023-11-02,29.6,18.4,23.2,32.2,20.2,0.6,0.6,17.8,36.7,79,18.11,35517.24,4.05,51,Bengaluru,12.9716,77.5946,Karnataka
2023-11-03,30.0,20.7,23.6,32.6,22.8,2.0,2.0,17.8,37.4,85,20.48,36817.92,4.43,55,Bengaluru,12.9716,77.5946,Karnataka
2023-11-04,28.0,19.6,22.6,30.0,22.3,4.8,4.8,19.0,34.9,86,15.36,30761.23,3.27,61,Bengaluru,12.9716,77.5946,Karnataka
2023-11-05,27.8,19.3,22.2,31.0,21.0,22.6,22.6,13.1,26.3,98,14.32,25931.78,2.98,63,Bengaluru,12.9716,77.5946,Karnataka
2023-11-06,27.8,19.0,22.4,31.9,21.5,26.6,26.6,9.4,30.2,142,18.58,33835.73,3.68,65,Bengaluru,12.9716,77.5946,Karnataka
2023-11-07,27.1,18.9,22.0,30.9,21.6,9.2,9.2,16.3,28.4,78,14.79,25841.17,3.01,63,Bengaluru,12.9716,77.5946,Karnataka
