time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,weathercode,city,latitude,longitude,region
2023-09-11,34.9,27.2,30.0,39.3,31.0,0.0,0.0,19.1,38.5,239,19.96,32208.43,5.38,3,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-12,35.3,26.8,29.5,40.0,30.3,5.6,5.6,18.9,38.2,243,20.01,30497.91,5.51,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-13,35.2,26.5,30.1,39.6,30.0,0.6,0.6,20.9,41.0,216,20.04,39082.13,5.57,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-14,36.1,26.0,29.8,40.5,29.7,2.5,2.5,23.0,39.6,221,20.18,34499.06,5.68,61,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-15,34.8,25.7,29.3,39.9,29.2,0.9,0.9,19.1,38.5,223,23.26,39600.0,5.65,53,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-16,33.9,26.0,28.8,39.7,29.8,16.7,16.7,23.2,37.1,217,18.92,34888.63,4.49,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-17,32.6,25.6,27.7,39.3,28.5,4.9,4.9,21.6,45.0,234,18.44,27035.59,4.11,55,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-18,33.1,25.0,27.9,40.3,28.5,4.2,4.2,18.4,42.1,215,20.92,32247.04,4.63,61,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-19,33.7,25.2,28.9,39.8,28.7,0.3,0.3,15.7,31.0,222,19.23,37999.27,4.72,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-20,34.0,26.0,29.2,40.6,30.2,0.2,0.2,15.1,28.8,217,20.79,33534.82,4.84,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-21,32.0,25.6,28.5,38.7,30.1,5.1,5.1,16.1,28.1,196,18.05,29328.15,4.15,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-22,32.8,25.5,28.9,40.4,30.0,2.6,2.6,17.3,33.1,193,23.0,39815.46,5.14,61,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-23,32.1,25.4,28.8,40.3,29.7,17.3,17.3,18.5,33.5,191,22.35,39837.26,4.91,65,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-24,33.8,24.6,28.2,40.9,28.5,18.6,18.6,17.1,32.4,246,22.4,38010.93,4.86,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-25,33.2,25.0,28.6,41.4,29.1,9.2,9.2,14.2,28.8,245,22.76,39645.22,4.96,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-26,32.8,24.8,27.8,40.3,28.2,21.7,21.7,18.4,40.3,245,21.78,36228.31,4.74,65,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-27,33.1,25.0,28.0,41.5,29.0,5.3,5.3,13.0,31.0,236,22.84,39600.0,4.86,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-28,33.7,25.7,28.8,40.2,29.7,8.2,8.2,16.7,32.8,253,22.79,39600.0,5.13,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-29,33.0,26.3,28.5,39.9,29.9,9.8,9.8,18.5,35.6,238,22.69,39600.0,5.01,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-09-30,32.4,25.7,28.7,38.2,30.1,2.7,2.7,18.6,34.6,208,20.74,36000.0,4.66,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-01,32.7,26.2,29.1,38.9,29.3,2.7,2.7,17.8,36.4,203,20.96,39600.0,5.18,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-02,33.4,26.5,29.6,38.6,29.4,0.3,0.3,21.2,38.9,208,22.06,39600.0,5.56,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-03,34.5,26.7,29.9,39.4,30.0,0.1,0.1,18.8,33.1,213,22.75,39600.0,5.81,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-04,33.9,26.3,29.1,41.0,30.6,10.0,10.0,14.2,27.7,219,21.14,39600.0,4.83,65,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-05,34.4,25.2,28.7,42.1,29.1,5.5,5.5,18.1,36.0,241,21.78,39600.0,4.97,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-06,34.2,26.1,28.9,41.1,29.2,3.1,3.1,17.8,30.6,223,19.18,30792.64,4.58,61,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-07,33.1,26.0,29.1,41.4,31.5,2.6,2.6,15.5,34.6,187,21.79,39600.0,4.63,61,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-08,32.7,25.9,29.0,39.7,31.2,0.0,0.0,16.4,33.5,187,22.69,39600.0,4.9,3,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-09,32.4,26.2,28.9,39.9,31.5,1.4,1.4,16.3,34.2,190,22.19,39600.0,4.75,55,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-10,32.3,25.3,28.5,41.5,29.7,0.6,0.6,13.5,26.6,191,22.14,39600.0,4.66,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-11,32.0,23.9,28.2,40.0,29.0,0.2,0.2,11.8,25.2,129,22.95,39600.0,4.77,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-12,31.2,25.4,28.3,38.3,31.3,0.4,0.4,11.6,27.0,95,22.81,39600.0,4.72,51,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-13,30.2,24.7,27.6,36.6,30.2,1.8,1.8,10.5,27.0,62,19.08,39600.0,3.93,53,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-14,29.2,23.8,26.7,34.7,28.4,22.5,22.5,11.0,24.1,81,14.72,26080.29,3.11,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-15,29.1,24.9,27.2,35.3,29.8,2.6,2.6,9.8,24.8,97,15.46,30235.99,3.27,55,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-16,29.6,24.9,27.1,35.7,29.5,12.6,12.6,10.9,25.2,116,17.77,32048.64,3.64,63,Chennai,13.0827,80.2707,Tamil Nadu
2023-10-17,31.5,25.0,28.2,36.6,30.9,0.2,0.2,15.5,31.7,57,22.29,39600.0,4.9,51,Chennai,13.0827,80.2707,Tamil Nadu
