time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,weathercode,city,latitude,longitude,region
2023-09-11,29.4,23.2,25.9,32.0,25.6,0.0,0.0,22.1,40.7,287,17.41,30602.16,3.98,3,Hyderabad,17.385,78.4867,Telangana
2023-09-12,29.6,22.6,25.7,33.5,23.8,0.2,0.2,20.8,42.8,285,18.97,27776.45,4.3,51,Hyderabad,17.385,78.4867,Telangana
2023-09-13,29.9,22.9,25.8,33.3,24.7,0.2,0.2,18.0,38.9,284,22.99,38215.17,5.06,51,Hyderabad,17.385,78.4867,Telangana
2023-09-14,28.5,23.8,25.6,31.7,25.4,0.1,0.1,20.8,38.2,282,13.55,14633.22,3.47,51,Hyderabad,17.385,78.4867,Telangana
2023-09-15,29.8,23.6,26.1,31.6,25.3,0.1,0.1,21.7,41.4,269,20.58,39689.36,4.86,51,Hyderabad,17.385,78.4867,Telangana
2023-09-16,29.6,23.6,26.0,32.6,25.1,1.1,1.1,23.0,43.2,262,20.4,41159.41,4.63,53,Hyderabad,17.385,78.4867,Telangana
2023-09-17,29.7,22.8,25.9,32.2,24.8,0.1,0.1,20.5,40.0,265,19.02,39967.36,4.3,51,Hyderabad,17.385,78.4867,Telangana
2023-09-18,30.8,23.2,26.5,35.1,24.9,0.7,0.7,16.3,33.1,273,23.38,40967.06,5.23,53,Hyderabad,17.385,78.4867,Telangana
2023-09-19,31.3,23.4,26.7,35.5,25.4,0.0,0.0,17.3,35.3,280,23.5,40510.24,5.27,3,Hyderabad,17.385,78.4867,Telangana
2023-09-20,31.0,24.1,26.6,35.6,25.8,3.2,3.2,19.3,37.8,279,20.21,30302.92,4.63,63,Hyderabad,17.385,78.4867,Telangana
2023-09-21,29.6,23.0,25.6,33.8,26.8,3.8,3.8,14.0,27.7,282,14.11,18220.66,3.16,53,Hyderabad,17.385,78.4867,Telangana
2023-09-22,29.1,22.7,25.1,34.5,26.5,1.9,1.9,15.2,28.1,277,16.47,26005.58,3.44,53,Hyderabad,17.385,78.4867,Telangana
2023-09-23,29.4,22.7,25.4,34.1,26.3,8.2,8.2,13.0,29.5,278,18.01,33652.89,3.72,63,Hyderabad,17.385,78.4867,Telangana
2023-09-24,28.4,22.1,24.9,33.0,25.9,3.1,3.1,15.7,31.0,283,14.41,18046.01,3.07,53,Hyderabad,17.385,78.4867,Telangana
2023-09-25,29.1,22.5,24.8,33.3,25.6,3.3,3.3,16.6,31.0,296,16.07,22392.14,3.31,61,Hyderabad,17.385,78.4867,Telangana
2023-09-26,30.0,22.4,25.4,36.2,26.0,7.7,7.7,10.5,20.2,277,20.33,36125.73,4.16,63,Hyderabad,17.385,78.4867,Telangana
2023-09-27,30.1,22.2,25.6,36.4,26.3,5.7,5.7,8.9,19.4,278,18.53,37365.88,3.79,63,Hyderabad,17.385,78.4867,Telangana
2023-09-28,30.9,22.2,25.6,37.7,26.3,17.0,17.0,11.0,24.5,285,20.48,36793.99,4.19,63,Hyderabad,17.385,78.4867,Telangana
2023-09-29,30.2,22.4,25.4,36.4,26.0,30.9,30.9,12.4,25.9,261,20.48,37092.02,4.15,65,Hyderabad,17.385,78.4867,Telangana
2023-09-30,30.0,21.9,25.5,34.2,24.6,1.9,1.9,16.9,29.2,259,20.42,38553.52,4.16,53,Hyderabad,17.385,78.4867,Telangana
2023-10-01,30.2,22.6,25.6,34.7,25.4,6.9,6.9,17.5,34.6,255,20.46,39189.5,4.32,63,Hyderabad,17.385,78.4867,Telangana
2023-10-02,30.5,22.8,26.2,34.1,26.0,0.8,0.8,15.3,32.4,279,17.5,38879.54,4.03,51,Hyderabad,17.385,78.4867,Telangana
2023-10-03,31.4,24.6,27.0,34.2,26.5,0.0,0.0,17.7,38.9,300,22.12,39600.0,5.12,3,Hyderabad,17.385,78.4867,Telangana
2023-10-04,31.4,23.2,26.8,33.9,24.3,0.0,0.0,13.4,28.8,327,20.15,37663.37,4.98,3,Hyderabad,17.385,78.4867,Telangana
2023-10-05,31.5,21.5,25.7,33.4,22.0,0.0,0.0,13.7,28.4,315,22.97,39706.45,5.49,3,Hyderabad,17.385,78.4867,Telangana
2023-10-06,31.6,20.9,25.3,33.4,21.3,0.0,0.0,17.3,35.3,315,23.67,39729.89,5.55,3,Hyderabad,17.385,78.4867,Telangana
2023-10-07,31.9,20.8,25.8,33.8,22.0,0.0,0.0,14.8,31.7,346,22.63,39600.0,5.42,3,Hyderabad,17.385,78.4867,Telangana
2023-10-08,31.9,19.9,26.0,34.1,21.9,0.0,0.0,10.0,23.0,355,20.84,39600.0,4.86,2,Hyderabad,17.385,78.4867,Telangana
2023-10-09,32.6,20.8,26.6,34.8,23.4,0.0,0.0,14.3,24.8,337,20.3,39600.0,4.76,3,Hyderabad,17.385,78.4867,Telangana
2023-10-10,32.0,21.7,25.9,35.5,23.6,24.6,24.6,12.2,23.0,54,21.02,39600.0,4.68,65,Hyderabad,17.385,78.4867,Telangana
2023-10-11,33.4,20.6,26.6,35.8,23.7,0.0,0.0,13.9,25.9,49,20.91,39600.0,5.01,3,Hyderabad,17.385,78.4867,Telangana
2023-10-12,32.6,21.6,26.7,34.8,23.6,0.0,0.0,11.8,27.0,86,20.8,39627.18,5.2,3,Hyderabad,17.385,78.4867,Telangana
2023-10-13,32.4,21.2,26.6,34.5,22.6,0.0,0.0,11.2,25.9,78,21.46,39600.0,5.09,3,Hyderabad,17.385,78.4867,Telangana
2023-10-14,32.0,22.7,26.9,34.6,24.8,0.0,0.0,11.3,26.3,82,21.69,39600.0,5.13,3,Hyderabad,17.385,78.4867,Telangana
2023-10-15,32.3,21.6,26.7,35.0,23.9,0.0,0.0,10.3,21.2,51,20.76,39600.0,4.91,2,Hyderabad,17.385,78.4867,Telangana
2023-10-16,31.0,22.4,26.6,33.5,24.1,0.8,0.8,9.8,24.1,85,20.46,39600.0,4.68,51,Hyderabad,17.385,78.4867,Telangana
2023-10-17,31.4,21.5,26.4,34.1,23.6,0.2,0.2,9.7,22.0,67,21.15,39600.0,4.89,51,Hyderabad,17.385,78.4867,Telangana
2023-10-18,31.4,22.0,26.1,33.2,23.9,0.1,0.1,11.9,27.4,45,21.34,39600.0,4.94,51,Hyderabad,17.385,78.4867,Telangana
2023-10-19,32.6,20.1,26.3,34.5,22.0,0.0,0.0,16.2,29.9,31,20.4,39600.0,5.09,3,Hyderabad,17.385,78.4867,Telangana
2023-10-20,32.3,20.7,26.4,33.7,22.5,0.0,0.0,12.4,24.1,45,21.07,39600.0,5.28,0,Hyderabad,17.385,78.4867,Telangana
2023-10-21,31.1,20.8,25.7,33.5,22.8,0.0,0.0,12.2,25.9,54,21.12,39600.0,5.07,2,Hyderabad,17.385,78.4867,Telangana
2023-10-22,31.5,20.2,25.2,31.6,19.4,0.0,0.0,18.9,34.9,34,22.03,39600.0,5.78,3,Hyderabad,17.385,78.4867,Telangana
2023-10-23,30.7,18.4,24.3,30.7,17.7,0.0,0.0,16.9,34.2,15,22.55,39600.0,5.65,3,Hyderabad,17.385,78.4867,Telangana
2023-10-24,30.7,16.6,23.7,30.3,16.6,0.0,0.0,16.3,34.2,11,22.53,39600.0,5.58,3,Hyderabad,17.385,78.4867,Telangana
2023-10-25,30.9,17.1,23.9,31.1,16.6,0.0,0.0,14.9,31.7,15,22.35,39600.0,5.58,2,Hyderabad,17.385,78.4867,Telangana
2023-10-26,30.2,17.3,23.6,30.0,15.7,0.0,0.0,15.8,32.8,26,22.35,39600.0,5.7,1,Hyderabad,17.385,78.4867,Telangana
2023-10-27,30.6,16.6,23.9,29.9,15.1,0.0,0.0,17.6,34.9,31,22.38,39600.0,5.84,1,Hyderabad,17.385,78.4867,Telangana
2023-10-28,30.9,17.0,24.4,34.0,16.3,0.1,0.1,14.0,26.6,65,20.58,39600.0,4.68,51,Hyderabad,17.385,78.4867,Telangana
2023-10-29,31.1,20.2,25.1,33.8,22.9,1.8,1.8,10.4,25.6,91,20.3,39600.0,4.37,53,Hyderabad,17.385,78.4867,Telangana
2023-10-30,29.6,19.9,24.5,32.9,22.4,0.3,0.3,12.2,24.8,118,19.38,39600.0,4.08,51,Hyderabad,17.385,78.4867,Telangana
2023-10-31,29.9,20.2,24.8,33.0,22.9,0.0,0.0,11.8,25.2,93,19.55,37246.74,4.3,3,Hyderabad,17.385,78.4867,Telangana
2023-11-01,30.7,20.1,24.8,33.7,22.0,0.0,0.0,8.9,21.6,61,19.65,39600.0,4.35,3,Hyderabad,17.385,78.4867,Telangana
