time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,weathercode,city,latitude,longitude,region
2023-09-11,33.2,23.9,28.0,37.7,29.1,1.0,1.0,14.4,34.2,9,19.31,42239.36,4.53,53,Jaipur,26.9124,75.7873,Rajasthan
2023-09-12,32.7,24.7,28.7,37.6,29.1,1.1,1.1,13.6,28.8,27,20.04,41257.72,4.8,53,Jaipur,26.9124,75.7873,Rajasthan
2023-09-13,32.9,24.4,28.4,38.5,28.4,1.7,1.7,12.4,27.0,306,17.57,34114.72,4.08,53,Jaipur,26.9124,75.7873,Rajasthan
2023-09-14,33.2,25.7,28.3,38.9,29.9,29.0,29.0,12.2,23.0,325,18.55,31021.76,4.26,65,Jaipur,26.9124,75.7873,Rajasthan
2023-09-15,33.2,24.5,28.9,39.9,30.1,1.4,1.4,15.6,32.4,33,20.11,41989.4,4.71,61,Jaipur,26.9124,75.7873,Rajasthan
2023-09-16,29.9,25.2,27.7,32.9,28.3,7.3,7.3,27.9,54.0,53,15.88,35849.42,3.97,61,Jaipur,26.9124,75.7873,Rajasthan
2023-09-17,29.4,23.8,25.9,31.7,26.2,3.4,3.4,28.7,52.2,85,16.17,31135.62,3.65,53,Jaipur,26.9124,75.7873,Rajasthan
2023-09-18,29.5,23.1,25.6,31.2,25.0,1.6,1.6,26.0,47.2,132,11.26,17747.32,3.1,51,Jaipur,26.9124,75.7873,Rajasthan
2023-09-19,31.7,23.8,27.4,35.3,27.4,0.3,0.3,16.9,33.8,142,20.17,40398.52,4.58,51,Jaipur,26.9124,75.7873,Rajasthan
2023-09-20,32.7,24.3,28.5,38.2,29.1,0.0,0.0,7.3,20.5,181,19.71,41064.65,4.48,1,Jaipur,26.9124,75.7873,Rajasthan
2023-09-21,33.2,25.6,28.5,39.8,29.5,0.1,0.1,13.4,22.3,300,20.04,39600.0,4.5,51,Jaipur,26.9124,75.7873,Rajasthan
2023-09-22,33.2,24.9,28.4,39.1,28.5,0.2,0.2,12.3,25.9,313,17.48,37318.74,4.05,51,Jaipur,26.9124,75.7873,Rajasthan
2023-09-23,31.5,24.8,27.4,35.9,26.7,7.7,7.7,18.8,39.2,326,17.18,40634.14,4.03,63,Jaipur,26.9124,75.7873,Rajasthan
2023-09-24,33.8,24.6,28.1,38.2,28.0,0.6,0.6,23.3,39.2,325,19.25,40488.82,4.56,51,Jaipur,26.9124,75.7873,Rajasthan
2023-09-25,32.4,23.6,27.6,37.3,27.4,0.3,0.3,10.1,27.4,341,18.46,40523.87,4.2,51,Jaipur,26.9124,75.7873,Rajasthan
2023-09-26,33.1,24.0,27.9,38.7,27.3,2.0,2.0,9.8,21.6,36,19.12,39507.13,4.28,53,Jaipur,26.9124,75.7873,Rajasthan
2023-09-27,33.5,23.8,28.5,36.6,24.5,0.0,0.0,10.5,23.8,25,19.85,40335.79,4.87,1,Jaipur,26.9124,75.7873,Rajasthan
2023-09-28,34.2,22.5,27.5,35.2,22.6,0.0,0.0,9.7,19.8,33,21.6,40370.68,5.48,3,Jaipur,26.9124,75.7873,Rajasthan
2023-09-29,34.7,21.2,27.8,35.5,20.6,0.0,0.0,11.7,20.5,13,21.57,40405.43,5.73,3,Jaipur,26.9124,75.7873,Rajasthan
2023-09-30,35.7,21.9,28.2,35.5,21.9,0.0,0.0,13.0,25.2,8,21.36,40181.58,6.04,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-01,34.6,21.5,27.4,34.5,21.9,0.0,0.0,11.4,24.8,19,21.33,40215.84,5.67,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-02,35.4,20.7,27.5,36.1,19.8,0.0,0.0,15.0,30.2,346,20.71,39600.0,5.74,2,Jaipur,26.9124,75.7873,Rajasthan
2023-10-03,34.3,20.9,27.3,34.3,19.8,0.0,0.0,14.0,27.0,338,21.03,39765.78,5.93,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-04,35.1,20.3,27.1,33.4,19.1,0.0,0.0,14.9,29.9,318,21.15,39798.75,6.4,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-05,35.5,20.2,27.7,34.3,18.7,0.0,0.0,19.9,36.7,300,20.83,39600.0,6.69,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-06,35.6,23.3,28.6,35.3,21.6,0.0,0.0,19.4,37.8,293,20.41,39604.67,7.01,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-07,35.3,23.5,28.9,36.3,23.1,0.0,0.0,17.4,31.7,283,20.17,39600.0,6.48,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-08,35.0,23.8,29.0,35.9,24.1,0.0,0.0,19.1,37.8,277,19.86,39600.0,6.43,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-09,34.8,24.5,29.1,34.2,25.0,0.0,0.0,20.5,40.0,267,19.75,39600.0,6.56,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-10,33.9,23.4,28.6,35.2,25.0,0.0,0.0,15.2,31.0,271,18.37,39600.0,5.56,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-11,34.8,22.5,28.0,34.5,20.6,0.0,0.0,13.8,24.1,305,19.87,39600.0,5.93,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-12,34.5,21.0,27.5,34.5,20.2,0.0,0.0,11.4,25.9,317,19.56,39600.0,5.58,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-13,34.9,22.3,28.3,35.3,22.3,0.0,0.0,11.0,25.2,304,19.22,39600.0,5.49,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-14,34.6,22.8,29.0,35.5,22.4,0.0,0.0,11.7,23.4,294,17.48,39600.0,5.1,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-15,33.5,22.1,27.7,34.1,21.6,0.0,0.0,14.2,29.5,284,16.85,39600.0,5.19,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-16,32.9,21.6,26.0,32.4,20.8,0.0,0.0,19.1,37.1,286,15.5,33695.81,5.04,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-17,30.8,20.0,23.8,31.8,20.6,0.1,0.1,16.1,29.5,66,17.01,37099.88,4.34,51,Jaipur,26.9124,75.7873,Rajasthan
2023-10-18,30.1,18.5,24.1,30.3,19.1,0.0,0.0,10.7,18.7,5,16.79,38743.22,4.2,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-19,31.3,17.1,24.0,30.8,17.2,0.0,0.0,11.4,23.0,347,18.59,39483.5,4.63,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-20,31.6,19.3,25.1,32.5,18.8,0.0,0.0,10.7,22.3,26,17.37,39322.11,4.7,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-21,32.1,19.4,25.5,32.4,19.0,0.0,0.0,10.6,19.1,44,16.71,39347.3,4.05,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-22,32.4,20.0,25.5,32.5,19.0,0.0,0.0,12.6,22.0,47,17.29,39106.4,4.74,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-23,31.5,19.2,25.1,30.5,19.0,0.0,0.0,13.8,27.7,357,17.15,39131.93,4.98,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-24,31.3,17.9,24.2,30.4,16.7,0.0,0.0,14.5,27.7,3,17.1,38890.45,4.64,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-25,31.3,17.3,24.5,29.7,16.8,0.0,0.0,16.6,32.0,337,17.05,38471.76,5.1,1,Jaipur,26.9124,75.7873,Rajasthan
2023-10-26,31.7,18.3,24.3,29.2,17.5,0.0,0.0,19.2,35.3,340,17.93,38942.35,5.29,0,Jaipur,26.9124,75.7873,Rajasthan
2023-10-27,31.4,16.7,23.9,30.8,15.0,0.0,0.0,9.9,21.6,360,17.68,38968.94,4.57,3,Jaipur,26.9124,75.7873,Rajasthan
2023-10-28,31.3,19.3,24.7,30.0,18.0,0.0,0.0,8.3,19.8,13,13.56,33581.2,3.76,3,Jaipur,26.9124,75.7873,Rajasthan
