time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,weathercode,city,latitude,longitude,region
2023-09-11,32.6,26.6,29.1,41.2,33.2,4.3,4.3,12.3,26.6,162,17.81,33259.85,3.87,61,Kolkata,22.5726,88.3639,West Bengal
2023-09-12,32.2,26.3,28.3,40.4,32.6,5.2,5.2,13.6,33.1,119,17.34,31784.53,3.64,61,Kolkata,22.5726,88.3639,West Bengal
2023-09-13,31.7,26.1,27.9,37.6,30.9,10.3,10.3,18.1,39.6,73,16.01,28304.2,3.5,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-14,30.9,25.9,27.5,34.8,29.6,16.9,16.9,28.0,55.1,102,15.04,31839.62,3.23,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-15,29.9,25.7,27.5,35.1,30.2,6.3,6.3,19.3,40.3,138,14.01,26108.97,2.95,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-16,32.6,25.5,28.4,40.4,31.6,1.6,1.6,15.1,29.9,139,19.49,41221.73,4.09,53,Kolkata,22.5726,88.3639,West Bengal
2023-09-17,33.5,25.7,29.2,41.7,32.1,0.1,0.1,12.9,28.1,139,22.09,43200.0,4.74,51,Kolkata,22.5726,88.3639,West Bengal
2023-09-18,30.8,25.6,27.6,37.8,31.5,15.2,15.2,11.9,29.5,76,12.86,20312.06,2.67,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-19,29.6,25.2,27.0,34.6,30.1,16.0,16.0,15.9,32.4,82,12.32,16316.55,2.66,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-20,29.2,25.8,27.1,34.7,29.9,13.6,13.6,18.2,38.2,115,7.9,578.97,1.96,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-21,30.3,25.8,27.7,35.1,29.6,11.5,11.5,23.8,47.9,165,14.88,25708.31,3.25,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-22,31.1,25.8,27.5,36.5,30.4,12.0,12.0,24.1,44.6,166,13.22,19270.5,2.93,65,Kolkata,22.5726,88.3639,West Bengal
2023-09-23,30.8,25.5,28.0,36.7,29.2,8.0,8.0,18.5,46.4,178,14.66,25827.59,3.23,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-24,31.0,25.1,27.4,37.0,30.5,23.1,23.1,17.3,34.9,180,15.41,30180.67,3.17,65,Kolkata,22.5726,88.3639,West Bengal
2023-09-25,31.4,24.9,27.3,39.1,30.1,14.1,14.1,16.1,32.4,178,14.96,22457.9,3.16,63,Kolkata,22.5726,88.3639,West Bengal
2023-09-26,32.2,24.4,27.9,41.2,28.7,2.5,2.5,13.6,27.4,189,19.07,32899.9,3.96,61,Kolkata,22.5726,88.3639,West Bengal
2023-09-27,32.9,24.2,28.3,41.0,29.6,0.3,0.3,9.5,17.6,210,18.29,37482.5,3.91,51,Kolkata,22.5726,88.3639,West Bengal
2023-09-28,31.8,25.6,28.6,39.1,31.8,0.7,0.7,8.6,21.2,323,15.47,33879.4,3.23,51,Kolkata,22.5726,88.3639,West Bengal
2023-09-29,32.5,25.3,28.4,40.1,30.3,37.0,37.0,11.7,27.7,341,10.7,7288.09,2.43,65,Kolkata,22.5726,88.3639,West Bengal
2023-09-30,29.6,25.5,26.4,35.2,29.7,39.5,39.5,20.8,38.2,78,8.09,5110.6,1.82,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-01,30.2,25.1,27.1,35.2,29.5,11.8,11.8,18.8,37.1,131,13.4,26610.33,2.78,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-02,30.1,25.3,27.0,35.6,30.2,10.9,10.9,19.6,38.5,136,12.67,23209.13,2.63,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-03,28.7,24.6,26.3,33.4,28.8,25.4,25.4,21.3,40.0,142,10.59,14949.46,2.17,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-04,28.2,24.6,25.9,33.3,28.5,44.6,44.6,18.3,39.2,154,7.21,3600.0,1.53,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-05,30.2,25.0,26.7,35.6,29.5,40.9,40.9,16.4,35.6,198,8.38,5885.19,1.87,65,Kolkata,22.5726,88.3639,West Bengal
2023-10-06,32.3,25.3,27.6,38.9,29.5,12.5,12.5,16.3,28.4,222,16.28,29148.49,3.5,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-07,32.6,24.9,28.3,39.6,30.7,0.3,0.3,8.8,20.5,258,19.4,40738.85,4.11,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-08,32.3,25.1,27.9,40.5,30.1,5.7,5.7,8.9,20.9,198,18.46,40532.06,3.89,63,Kolkata,22.5726,88.3639,West Bengal
2023-10-09,33.3,24.9,28.5,40.3,29.5,0.3,0.3,11.7,23.8,233,19.06,38308.38,4.17,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-10,33.7,24.8,29.4,39.2,30.3,0.0,0.0,11.2,23.0,251,19.2,41052.95,4.32,1,Kolkata,22.5726,88.3639,West Bengal
2023-10-11,33.7,25.1,29.5,39.1,30.7,0.0,0.0,9.1,20.2,261,19.76,40808.56,4.42,0,Kolkata,22.5726,88.3639,West Bengal
2023-10-12,33.5,24.4,29.2,39.9,29.1,0.0,0.0,10.5,20.5,265,19.24,40815.52,4.39,3,Kolkata,22.5726,88.3639,West Bengal
2023-10-13,33.6,23.4,28.5,39.0,27.5,0.0,0.0,8.4,17.3,251,19.96,39750.72,4.46,1,Kolkata,22.5726,88.3639,West Bengal
2023-10-14,33.0,23.3,27.8,37.7,27.5,0.0,0.0,11.3,22.7,231,19.23,38782.86,4.34,1,Kolkata,22.5726,88.3639,West Bengal
2023-10-15,32.7,23.2,27.6,37.0,27.4,0.0,0.0,9.0,18.0,294,20.47,40327.53,4.46,3,Kolkata,22.5726,88.3639,West Bengal
2023-10-16,31.4,23.4,27.3,36.0,27.2,0.6,0.6,13.3,25.9,318,18.66,40078.49,3.99,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-17,31.2,22.8,27.4,37.0,26.5,0.2,0.2,8.1,15.5,14,18.19,38920.41,3.8,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-18,31.8,23.2,27.1,36.3,27.4,0.0,0.0,11.5,23.8,2,18.76,39474.0,4.1,0,Kolkata,22.5726,88.3639,West Bengal
2023-10-19,31.3,22.4,26.9,35.7,26.2,0.0,0.0,11.3,25.2,11,18.29,39577.4,4.1,1,Kolkata,22.5726,88.3639,West Bengal
2023-10-20,31.3,22.0,26.4,34.8,24.9,0.0,0.0,11.4,24.5,11,19.69,39577.45,4.39,0,Kolkata,22.5726,88.3639,West Bengal
2023-10-21,30.8,20.8,25.7,33.7,22.8,0.0,0.0,10.6,23.8,359,20.05,39576.5,4.41,2,Kolkata,22.5726,88.3639,West Bengal
2023-10-22,31.4,23.1,26.9,34.9,25.8,0.0,0.0,11.7,25.9,10,18.67,38378.04,4.2,3,Kolkata,22.5726,88.3639,West Bengal
2023-10-23,30.4,23.0,25.6,34.8,25.7,9.5,9.5,15.0,32.4,58,13.96,22904.46,2.97,65,Kolkata,22.5726,88.3639,West Bengal
2023-10-24,28.9,23.3,25.6,31.1,26.6,0.0,0.0,19.6,37.1,36,9.94,11105.38,2.42,3,Kolkata,22.5726,88.3639,West Bengal
2023-10-25,31.0,22.4,26.6,35.8,26.1,0.2,0.2,12.9,27.7,324,17.47,38135.25,3.62,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-26,31.1,22.4,26.4,35.4,26.4,0.2,0.2,8.4,20.2,354,17.7,37382.31,3.8,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-27,30.7,22.3,25.7,35.3,25.7,1.3,1.3,15.5,36.0,8,13.89,23690.49,3.04,53,Kolkata,22.5726,88.3639,West Bengal
2023-10-28,30.0,21.7,25.8,33.6,24.9,0.3,0.3,7.6,18.4,13,16.88,38455.66,3.64,51,Kolkata,22.5726,88.3639,West Bengal
2023-10-29,30.5,19.7,25.2,32.7,21.8,0.0,0.0,9.3,22.0,357,18.66,38736.45,4.07,3,Kolkata,22.5726,88.3639,West Bengal
2023-10-30,30.7,19.7,25.9,33.1,21.7,0.0,0.0,8.3,19.4,21,18.18,37980.9,3.91,1,Kolkata,22.5726,88.3639,West Bengal
2023-10-31,31.2,20.8,26.3,35.4,23.1,0.0,0.0,7.5,19.1,19,17.45,38262.39,3.76,1,Kolkata,22.5726,88.3639,West Bengal
2023-11-01,32.1,22.1,27.3,36.4,25.5,0.0,0.0,8.2,16.9,3,16.88,37764.27,3.67,3,Kolkata,22.5726,88.3639,West Bengal
