time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,weathercode,city,latitude,longitude,region
2023-09-11,28.1,22.0,24.4,30.5,24.5,1.2,1.2,24.2,46.4,269,20.87,36000.0,4.19,51,Pune,18.5204,73.8567,Maharashtra
2023-09-12,28.6,21.0,24.0,30.6,22.9,3.3,3.3,22.0,42.8,267,21.16,43200.0,4.44,55,Pune,18.5204,73.8567,Maharashtra
2023-09-13,28.4,21.5,24.2,31.1,23.6,1.1,1.1,20.5,39.6,266,20.53,40072.95,4.33,53,Pune,18.5204,73.8567,Maharashtra
2023-09-14,28.9,21.5,24.3,31.9,24.1,0.8,0.8,20.2,41.0,267,21.56,40346.91,4.5,51,Pune,18.5204,73.8567,Maharashtra
2023-09-15,28.6,20.8,24.2,30.4,23.0,0.4,0.4,21.3,42.1,263,20.11,37972.68,4.4,51,Pune,18.5204,73.8567,Maharashtra
2023-09-16,26.4,22.5,23.9,26.9,24.1,0.0,0.0,26.9,51.1,258,12.23,6702.98,2.97,3,Pune,18.5204,73.8567,Maharashtra
2023-09-17,26.8,22.5,24.0,28.1,24.2,2.3,2.3,27.6,53.6,250,17.97,33912.29,3.73,53,Pune,18.5204,73.8567,Maharashtra
2023-09-18,28.0,21.8,24.2,30.3,23.4,3.0,3.0,25.8,52.2,239,21.8,41254.71,4.41,61,Pune,18.5204,73.8567,Maharashtra
2023-09-19,28.3,22.2,24.5,31.9,24.4,1.6,1.6,22.9,46.4,233,20.26,37586.66,4.16,51,Pune,18.5204,73.8567,Maharashtra
2023-09-20,28.9,23.0,25.0,33.1,25.6,2.3,2.3,20.6,41.4,238,19.04,34959.43,4.04,55,Pune,18.5204,73.8567,Maharashtra
2023-09-21,29.8,23.3,24.9,34.4,26.0,18.5,18.5,14.5,33.5,249,15.0,26100.07,3.26,63,Pune,18.5204,73.8567,Maharashtra
2023-09-22,27.4,22.8,23.9,31.2,26.0,33.4,33.4,14.5,27.7,270,7.61,3089.07,1.7,63,Pune,18.5204,73.8567,Maharashtra
2023-09-23,27.5,22.3,23.6,32.4,25.8,32.1,32.1,12.3,30.6,260,10.37,12425.63,2.17,63,Pune,18.5204,73.8567,Maharashtra
2023-09-24,27.6,21.5,23.6,30.7,24.5,7.9,7.9,14.5,33.1,265,14.37,34672.09,2.9,63,Pune,18.5204,73.8567,Maharashtra
2023-09-25,28.7,21.5,24.0,33.0,25.0,5.8,5.8,14.3,32.4,271,18.55,40869.25,3.67,63,Pune,18.5204,73.8567,Maharashtra
